week_start,week_end,week,month,year,theft,population_rate,education_rate,poverty_rate,inflation_rate,unemployment_rate,gdp,cpi
07/09/2015,13/09/2015,2,September,2015,,,,,,,,
14/09/2015,20/09/2015,3,September,2015,,,,,,,,
21/09/2015,27/09/2015,4,September,2015,,,,,,,,
28/09/2015,04/10/2015,5,September,2015,,,,,,,,
05/10/2015,11/10/2015,1,October,2015,,,,,,,,
12/10/2015,18/10/2015,2,October,2015,,,,,,,,
19/10/2015,25/10/2015,3,October,2015,,,,,,,,
26/10/2015,01/11/2015,4,October,2015,,,,,,,,
02/11/2015,08/11/2015,1,November,2015,,,,,,,,
09/11/2015,15/11/2015,2,November,2015,,,,,,,,
16/11/2015,22/11/2015,3,November,2015,,,,,,,,
23/11/2015,29/11/2015,4,November,2015,,,,,,,,
30/11/2015,06/12/2015,1,November,2015,,,,,,,,
07/12/2015,13/12/2015,2,December,2015,,,,,,,,
14/12/2015,20/12/2015,3,December,2015,,,,,,,,
21/12/2015,27/12/2015,4,December,2015,,,,,,,,
28/12/2015,03/01/2016,5,December,2015,,,,,,,,
04/01/2016,10/01/2016,1,January,2016,,,,,,,,
11/01/2016,17/01/2016,2,January,2016,,,,,,,,
18/01/2016,24/01/2016,3,January,2016,,,,,,,,
25/01/2016,31/01/2016,4,January,2016,,,,,,,,
01/02/2016,07/02/2016,1,February,2016,,,,,,,,
08/02/2016,14/02/2016,2,February,2016,,,,,,,,
15/02/2016,21/02/2016,3,February,2016,,,,,,,,
22/02/2016,28/02/2016,4,February,2016,,,,,,,,
29/02/2016,06/03/2016,1,March,2016,,,,,,,,
07/03/2016,13/03/2016,2,March,2016,,,,,,,,
14/03/2016,20/03/2016,3,March,2016,,,,,,,,
21/03/2016,27/03/2016,4,March,2016,,,,,,,,
28/03/2016,03/04/2016,5,March,2016,,,,,,,,
04/04/2016,10/04/2016,1,April,2016,,,,,,,,
11/04/2016,17/04/2016,2,April,2016,,,,,,,,
18/04/2016,24/04/2016,3,April,2016,,,,,,,,
25/04/2016,01/05/2016,4,April,2016,,,,,,,,
02/05/2016,08/05/2016,1,May,2016,,,,,,,,
09/05/2016,15/05/2016,2,May,2016,,,,,,,,
16/05/2016,22/05/2016,3,May,2016,,,,,,,,
23/05/2016,29/05/2016,4,May,2016,,,,,,,,
30/05/2016,05/06/2016,1,June,2016,,,,,,,,
06/06/2016,12/06/2016,2,June,2016,,,,,,,,
13/06/2016,19/06/2016,3,June,2016,,,,,,,,
20/06/2016,26/06/2016,4,June,2016,,,,,,,,
27/06/2016,03/07/2016,5,June,2016,,,,,,,,
04/07/2016,10/07/2016,1,July,2016,,,,,,,,
11/07/2016,17/07/2016,2,July,2016,,,,,,,,
18/07/2016,24/07/2016,3,July,2016,,,,,,,,
25/07/2016,31/07/2016,4,July,2016,,,,,,,,
01/08/2016,07/08/2016,1,August,2016,,,,,,,,
08/08/2016,14/08/2016,2,August,2016,,,,,,,,
15/08/2016,21/08/2016,3,August,2016,,,,,,,,
22/08/2016,28/08/2016,4,August,2016,,,,,,,,
29/08/2016,04/09/2016,1,September,2016,,,,,,,,
05/09/2016,11/09/2016,2,September,2016,,,,,,,,
12/09/2016,18/09/2016,3,September,2016,,,,,,,,
19/09/2016,25/09/2016,4,September,2016,,,,,,,,
26/09/2016,02/10/2016,5,September,2016,,,,,,,,
03/10/2016,09/10/2016,1,October,2016,,,,,,,,
10/10/2016,16/10/2016,2,October,2016,,,,,,,,
17/10/2016,23/10/2016,3,October,2016,,,,,,,,
24/10/2016,30/10/2016,4,October,2016,,,,,,,,
31/10/2016,06/11/2016,1,November,2016,,,,,,,,
07/11/2016,13/11/2016,2,November,2016,,,,,,,,
14/11/2016,20/11/2016,3,November,2016,,,,,,,,
21/11/2016,27/11/2016,4,November,2016,,,,,,,,
28/11/2016,04/12/2016,1,December,2016,,,,,,,,
05/12/2016,11/12/2016,2,December,2016,,,,,,,,
12/12/2016,18/12/2016,3,December,2016,,,,,,,,
19/12/2016,25/12/2016,4,December,2016,,,,,,,,
26/12/2016,01/01/2017,5,December,2016,,,,,,,,
02/01/2017,08/01/2017,1,January,2017,,,,,,,,
09/01/2017,15/01/2017,2,January,2017,,,,,,,,
16/01/2017,22/01/2017,3,January,2017,,,,,,,,
23/01/2017,29/01/2017,4,January,2017,,,,,,,,
30/01/2017,05/02/2017,1,February,2017,,,,,,,,
06/02/2017,12/02/2017,2,February,2017,,,,,,,,
13/02/2017,19/02/2017,3,February,2017,,,,,,,,
20/02/2017,26/02/2017,4,February,2017,,,,,,,,
27/02/2017,05/03/2017,1,March,2017,,,,,,,,
06/03/2017,12/03/2017,2,March,2017,,,,,,,,
13/03/2017,19/03/2017,3,March,2017,,,,,,,,
20/03/2017,26/03/2017,4,March,2017,,,,,,,,
27/03/2017,02/04/2017,5,March,2017,,,,,,,,
03/04/2017,09/04/2017,1,April,2017,,,,,,,,
10/04/2017,16/04/2017,2,April,2017,,,,,,,,
17/04/2017,23/04/2017,3,April,2017,,,,,,,,
24/04/2017,30/04/2017,4,April,2017,,,,,,,,
01/05/2017,07/05/2017,1,May,2017,,,,,,,,
08/05/2017,14/05/2017,2,May,2017,,,,,,,,
15/05/2017,21/05/2017,3,May,2017,,,,,,,,
22/05/2017,28/05/2017,4,May,2017,,,,,,,,
29/05/2017,04/06/2017,1,June,2017,,,,,,,,
05/06/2017,11/06/2017,2,June,2017,,,,,,,,
12/06/2017,18/06/2017,3,June,2017,,,,,,,,
19/06/2017,25/06/2017,4,June,2017,,,,,,,,
26/06/2017,02/07/2017,5,June,2017,,,,,,,,
03/07/2017,09/07/2017,1,July,2017,,,,,,,,
10/07/2017,16/07/2017,2,July,2017,,,,,,,,
17/07/2017,23/07/2017,3,July,2017,,,,,,,,
24/07/2017,30/07/2017,4,July,2017,,,,,,,,
31/07/2017,06/08/2017,1,August,2017,,,,,,,,
07/08/2017,13/08/2017,2,August,2017,,,,,,,,
14/08/2017,20/08/2017,3,August,2017,,,,,,,,
21/08/2017,27/08/2017,4,August,2017,,,,,,,,
28/08/2017,03/09/2017,5,August,2017,,,,,,,,
04/09/2017,10/09/2017,1,September,2017,,,,,,,,
11/09/2017,17/09/2017,2,September,2017,,,,,,,,
18/09/2017,24/09/2017,3,September,2017,,,,,,,,
25/09/2017,01/10/2017,4,September,2017,,,,,,,,
02/10/2017,08/10/2017,1,October,2017,,,,,,,,
09/10/2017,15/10/2017,2,October,2017,,,,,,,,
16/10/2017,22/10/2017,3,October,2017,,,,,,,,
23/10/2017,29/10/2017,4,October,2017,,,,,,,,
30/10/2017,05/11/2017,1,November,2017,,,,,,,,
06/11/2017,12/11/2017,2,November,2017,,,,,,,,
13/11/2017,19/11/2017,3,November,2017,,,,,,,,
20/11/2017,26/11/2017,4,November,2017,,,,,,,,
27/11/2017,03/12/2017,5,November,2017,,,,,,,,
04/12/2017,10/12/2017,1,December,2017,,,,,,,,
11/12/2017,17/12/2017,2,December,2017,,,,,,,,
18/12/2017,24/12/2017,3,December,2017,,,,,,,,
25/12/2017,31/12/2017,4,December,2017,,,,,,,,
01/01/2018,07/01/2018,1,January,2018,,,,,,,,
08/01/2018,14/01/2018,2,January,2018,,,,,,,,
15/01/2018,21/01/2018,3,January,2018,,,,,,,,
22/01/2018,28/01/2018,4,January,2018,,,,,,,,
29/01/2018,04/02/2018,1,February,2018,,,,,,,,
05/02/2018,11/02/2018,2,February,2018,,,,,,,,
12/02/2018,18/02/2018,3,February,2018,,,,,,,,
19/02/2018,25/01/2018,4,February,2018,,,,,,,,
26/02/2018,04/03/2018,1,March,2018,,,,,,,,
05/03/2018,11/03/2018,2,March,2018,,,,,,,,
12/03/2018,18/02/2018,3,March,2018,,,,,,,,
19/03/2018,25/03/2018,4,March,2018,,,,,,,,
26/03/2018,01/04/2018,5,March,2018,,,,,,,,
02/04/2018,08/04/2018,1,April,2018,,,,,,,,
09/04/2018,15/04/2018,2,April,2018,,,,,,,,
16/04/2018,22/04/2018,3,April,2018,,,,,,,,
23/04/2018,29/04/2018,4,April,2018,,,,,,,,
30/04/2018,06/05/2018,1,May,2018,,,,,,,,
07/05/2018,13/05/2018,2,May,2018,,,,,,,,
14/05/2018,20/05/2018,3,May,2018,,,,,,,,
21/05/2018,27/05/2018,4,May,2018,,,,,,,,
28/05/2018,03/06/2018,5,May,2018,,,,,,,,
04/06/2018,10/06/2018,1,June,2018,,,,,,,,
11/06/2018,17/06/2018,2,June,2018,,,,,,,,
18/06/2018,24/06/2018,3,June,2018,,,,,,,,
25/06/2018,01/07/2018,4,June,2018,,,,,,,,
02/07/2018,08/07/2018,1,July,2018,,,,,,,,
09/07/2018,15/07/2018,2,July,2018,,,,,,,,
16/07/2018,22/07/2018,3,July,2018,,,,,,,,
23/07/2018,29/07/2018,4,July,2018,,,,,,,,
30/07/2018,05/08/2018,1,August,2018,,,,,,,,
06/08/2018,12/08/2018,2,August,2018,,,,,,,,
13/08/2018,19/08/2018,3,August,2018,,,,,,,,
20/08/2018,26/08/2018,4,August,2018,,,,,,,,
27/08/2018,02/09/2018,5,August,2018,,,,,,,,
03/09/2018,09/09/2018,1,September,2018,,,,,,,,
10/09/2018,16/09/2018,2,September,2018,,,,,,,,
17/09/2018,23/09/2018,3,September,2018,,,,,,,,
24/09/2018,30/09/2018,4,September,2018,,,,,,,,
01/10/2018,07/10/2018,1,October,2018,,,,,,,,
08/10/2018,14/10/2018,2,October,2018,,,,,,,,
15/10/2018,21/10/2018,3,October,2018,,,,,,,,
22/10/2018,28/10/2018,4,October,2018,,,,,,,,
29/10/2018,04/11/2018,1,November,2018,,,,,,,,
05/11/2018,11/11/2018,2,November,2018,,,,,,,,
12/11/2018,18/11/2018,3,November,2018,,,,,,,,
19/11/2018,25/11/2018,4,November,2018,,,,,,,,
26/11/2018,02/12/2018,5,November,2018,,,,,,,,
03/12/2018,09/12/2018,1,December,2018,,,,,,,,
10/12/2018,16/12/2018,2,December,2018,,,,,,,,
17/12/2018,23/12/2018,3,December,2018,,,,,,,,
24/12/2018,30/12/2018,4,December,2018,,,,,,,,
31/12/2018,06/01/2019,1,January,2019,,,,,,,,
07/01/2019,13/01/2019,2,January,2019,,,,,,,,
14/01/2019,20/01/2019,3,January,2019,,,,,,,,
21/01/2019,27/01/2019,4,January,2019,,,,,,,,
28/01/2019,03/02/2019,5,January,2019,,,,,,,,
04/02/2019,10/02/2019,1,February,2019,,,,,,,,
11/02/2019,17/02/2019,2,February,2019,,,,,,,,
18/02/2019,24/02/2019,3,February,2019,,,,,,,,
25/02/2019,03/03/2019,4,February,2019,,,,,,,,
04/03/2019,10/03/2019,1,March,2019,,,,,,,,
11/03/2019,17/03/2019,2,March,2019,,,,,,,,
18/03/2019,24/03/2019,3,March,2019,,,,,,,,
25/03/2019,31/03/2019,4,March,2019,,,,,,,,
01/04/2019,07/04/2019,1,April,2019,,,,,,,,
08/04/2019,14/04/2019,2,April,2019,,,,,,,,
15/04/2019,21/04/2019,3,April,2019,,,,,,,,
22/04/2019,28/04/2019,4,April,2019,,,,,,,,
29/04/2019,05/05/2019,1,May,2019,,,,,,,,
06/05/2019,12/05/2019,2,May,2019,,,,,,,,
13/05/2019,19/05/2019,3,May,2019,,,,,,,,
20/05/2019,26/05/2019,4,May,2019,,,,,,,,
27/05/2019,02/06/2019,5,May,2019,,,,,,,,
03/06/2019,09/06/2019,1,June,2019,,,,,,,,
10/06/2019,16/06/2019,2,June,2019,,,,,,,,
17/06/2019,23/06/2019,3,June,2019,,,,,,,,
24/06/2019,30/06/2019,4,June,2019,,,,,,,,
01/07/2019,07/07/2019,1,July,2019,,,,,,,,
08/07/2019,14/07/2019,2,July,2019,,,,,,,,
15/07/2019,21/07/2019,3,July,2019,,,,,,,,
22/07/2019,28/07/2019,4,July,2019,,,,,,,,
29/07/2019,04/08/2019,1,August,2019,,,,,,,,
05/08/2019,11/08/2019,2,August,2019,,,,,,,,
12/08/2019,18/08/2019,3,August,2019,,,,,,,,
19/08/2019,25/08/2019,4,August,2019,,,,,,,,
26/08/2019,01/09/2019,5,August,2019,,,,,,,,
02/09/2019,08/09/2019,1,September,2019,,,,,,,,
09/09/2019,15/09/2019,2,September,2019,,,,,,,,
16/09/2019,22/09/2019,3,September,2019,,,,,,,,
23/09/2019,29/09/2019,4,September,2019,,,,,,,,
30/09/2019,06/10/2019,1,October,2019,,,,,,,,
07/10/2019,13/10/2019,2,October,2019,,,,,,,,
14/10/2019,20/10/2019,3,October,2019,,,,,,,,
21/10/2019,27/10/2019,4,October,2019,,,,,,,,
28/10/2019,03/11/2019,5,October,2019,,,,,,,,
04/11/2019,10/11/2019,1,November,2019,,,,,,,,
11/11/2019,17/11/2019,2,November,2019,,,,,,,,
18/11/2019,24/11/2019,3,November,2019,,,,,,,,
25/11/2019,01/12/2019,4,November,2019,,,,,,,,
02/12/2019,08/12/2019,1,December,2019,,,,,,,,
09/12/2019,15/12/2019,2,December,2019,,,,,,,,
16/12/2019,22/12/2019,3,December,2019,,,,,,,,
23/12/2019,29/12/2019,4,December,2019,,,,,,,,
30/12/2019,05/01/2020,1,January,2020,,,,,,,,
06/01/2020,12/01/2020,2,January,2020,,,,,,,,
13/01/2020,19/01/2020,3,January,2020,,,,,,,,
20/01/2020,26/01/2020,4,January,2020,,,,,,,,
27/01/2020,02/02/2020,5,January,2020,,,,,,,,
03/02/2020,09/02/2020,1,February,2020,,,,,,,,
10/02/2020,16/02/2020,2,February,2020,,,,,,,,
17/02/2020,23/02/2020,3,February,2020,,,,,,,,
24/02/2020,01/03/2020,4,February,2020,,,,,,,,
02/03/2020,08/03/2020,1,March,2020,,,,,,,,
09/03/2020,15/03/2020,2,March,2020,,,,,,,,
16/03/2020,22/03/2020,3,March,2020,,,,,,,,
23/03/2020,29/03/2020,4,March,2020,,,,,,,,
30/03/2020,05/04/2020,1,April,2020,,,,,,,,
06/04/2020,12/04/2020,2,April,2020,,,,,,,,
13/04/2020,19/04/2020,3,April,2020,,,,,,,,
20/04/2020,26/04/2020,4,April,2020,,,,,,,,
27/04/2020,03/05/2020,5,April,2020,,,,,,,,
04/05/2020,10/05/2020,1,May,2020,,,,,,,,
11/05/2020,17/05/2020,2,May,2020,,,,,,,,
18/05/2020,24/05/2020,3,May,2020,,,,,,,,
25/05/2020,31/05/2020,4,May,2020,,,,,,,,
01/06/2020,07/06/2020,1,June,2020,,,,,,,,
08/06/2020,14/06/2020,2,June,2020,,,,,,,,
15/06/2020,21/06/2020,3,June,2020,,,,,,,,
22/06/2020,28/06/2020,4,June,2020,,,,,,,,
29/06/2020,05/07/2020,1,July,2020,,,,,,,,
06/07/2020,12/07/2020,2,July,2020,,,,,,,,
13/07/2020,19/07/2020,3,July,2020,,,,,,,,
20/07/2020,26/07/2020,4,July,2020,,,,,,,,
27/07/2020,02/08/2020,5,July,2020,,,,,,,,
03/08/2020,09/08/2020,1,August,2020,,,,,,,,
10/08/2020,16/08/2020,2,August,2020,,,,,,,,
17/08/2020,23/08/2020,3,August,2020,,,,,,,,
24/08/2020,30/08/2020,4,August,2020,,,,,,,,
31/08/2020,06/09/2020,1,September,2020,,,,,,,,
07/09/2020,13/09/2020,2,September,2020,,,,,,,,
14/09/2020,20/09/2020,3,September,2020,,,,,,,,
21/09/2020,27/09/2020,4,September,2020,,,,,,,,
28/09/2020,04/10/2020,1,October,2020,,,,,,,,
05/10/2020,11/10/2020,2,October,2020,,,,,,,,
12/10/2020,18/10/2020,3,October,2020,,,,,,,,
19/10/2020,25/10/2020,4,October,2020,,,,,,,,
26/10/2020,01/11/2020,5,October,2020,,,,,,,,
02/11/2020,08/11/2020,1,November,2020,,,,,,,,
09/11/2020,15/11/2020,2,November,2020,,,,,,,,
16/11/2020,22/11/2020,3,November,2020,,,,,,,,
23/11/2020,29/11/2020,4,November,2020,,,,,,,,
30/11/2020,06/12/2020,1,December,2020,,,,,,,,
07/12/2020,13/12/2020,2,December,2020,,,,,,,,
14/12/2020,20/12/2020,3,December,2020,,,,,,,,
21/12/2020,27/12/2020,4,December,2020,,,,,,,,
28/12/2020,03/01/2021,5,December,2020,,,,,,,,
04/01/2021,10/01/2021,1,January,2021,,,,,,,,
11/01/2021,17/01/2021,2,January,2021,,,,,,,,
18/01/2021,24/01/2021,3,January,2021,,,,,,,,
25/01/2021,31/01/2021,4,January,2021,,,,,,,,
01/02/2021,07/02/2021,1,February,2021,,,,,,,,
08/02/2021,14/02/2021,2,February,2021,,,,,,,,
15/02/2021,21/02/2021,3,February,2021,,,,,,,,
22/02/2021,28/02/2021,4,February,2021,,,,,,,,
01/03/2021,07/03/2021,1,March,2021,,,,,,,,
08/03/2021,14/03/2021,2,March,2021,,,,,,,,
15/03/2021,21/03/2021,3,March,2021,,,,,,,,
22/03/2021,28/03/2021,4,March,2021,,,,,,,,
29/03/2021,04/04/2021,1,April,2021,,,,,,,,
05/04/2021,11/04/2021,2,April,2021,,,,,,,,
12/04/2021,18/04/2021,3,April,2021,,,,,,,,
19/04/2021,25/04/2021,4,April,2021,,,,,,,,
26/04/2021,02/05/2021,5,April,2021,,,,,,,,
03/05/2021,09/05/2021,1,May,2021,,,,,,,,
10/05/2021,16/05/2021,2,May,2021,,,,,,,,
17/05/2021,23/05/2021,3,May,2021,,,,,,,,
24/05/2021,30/05/2021,4,May,2021,,,,,,,,
31/05/2021,06/06/2021,1,June,2021,,,,,,,,
07/06/2021,13/06/2021,2,June,2021,,,,,,,,
14/06/2021,20/06/2021,3,June,2021,,,,,,,,
21/06/2021,27/06/2021,4,June,2021,,,,,,,,
28/06/2021,04/07/2021,1,July,2021,,,,,,,,
05/07/2021,11/07/2021,2,July,2021,,,,,,,,
12/07/2021,18/07/2021,3,July,2021,,,,,,,,
19/07/2021,25/07/2021,4,July,2021,,,,,,,,
26/07/2021,01/08/2021,5,July,2021,,,,,,,,
02/08/2021,08/08/2021,1,August,2021,,,,,,,,
09/08/2021,15/08/2021,2,August,2021,,,,,,,,
16/08/2021,22/08/2021,3,August,2021,,,,,,,,
23/08/2021,29/08/2021,4,August,2021,,,,,,,,
30/08/2021,05/09/2021,1,September,2021,,,,,,,,
06/09/2021,12/09/2021,2,September,2021,,,,,,,,
13/09/2021,19/09/2021,3,September,2021,,,,,,,,
20/09/2021,26/09/2021,4,September,2021,,,,,,,,
27/09/2021,03/10/2021,5,September,2021,,,,,,,,
04/10/2021,10/10/2021,1,October,2021,,,,,,,,
11/10/2021,17/10/2021,2,October,2021,,,,,,,,
18/10/2021,24/10/2021,3,October,2021,,,,,,,,
25/10/2021,31/10/2021,4,October,2021,,,,,,,,
01/11/2021,07/11/2021,1,November,2021,,,,,,,,
08/11/2021,14/11/2021,2,November,2021,,,,,,,,
15/11/2021,21/11/2021,3,November,2021,,,,,,,,
22/11/2021,28/11/2021,4,November,2021,,,,,,,,
29/11/2021,05/12/2021,1,December,2021,,,,,,,,
06/12/2021,12/12/2021,2,December,2021,,,,,,,,
13/12/2021,19/12/2021,3,December,2021,,,,,,,,
20/12/2021,26/12/2021,4,December,2021,,,,,,,,
27/12/2021,02/01/2022,5,December,2021,,,,,,,,
03/01/2022,09/01/2022,1,January,2022,,,,,,,,
10/01/2022,16/01/2022,2,January,2022,,,,,,,,
17/01/2022,23/01/2022,3,January,2022,,,,,,,,
24/01/2022,30/01/2022,4,January,2022,,,,,,,,
31/01/2022,06/02/2022,1,February,2022,,,,,,,,
07/02/2022,13/02/2022,2,February,2022,,,,,,,,
14/02/2022,20/02/2022,3,February,2022,,,,,,,,
21/02/2022,27/02/2022,4,February,2022,,,,,,,,
28/02/2022,06/03/2022,1,March,2022,,,,,,,,
07/03/2022,13/03/2022,2,March,2022,,,,,,,,
14/03/2022,20/03/2022,3,March,2022,,,,,,,,
21/03/2022,27/03/2022,4,March,2022,,,,,,,,
28/03/2022,03/04/2022,5,March,2022,,,,,,,,
04/04/2022,10/04/2022,1,April,2022,,,,,,,,
11/04/2022,17/04/2022,2,April,2022,,,,,,,,
18/04/2022,24/04/2022,3,April,2022,,,,,,,,
25/04/2022,01/05/2022,4,April,2022,,,,,,,,
02/05/2022,08/05/2022,1,May,2022,,,,,,,,
09/05/2022,15/05/2022,2,May,2022,,,,,,,,
16/05/2022,22/05/2022,3,May,2022,,,,,,,,
23/05/2022,29/05/2022,4,May,2022,,,,,,,,
30/05/2022,05/06/2022,1,June,2022,,,,,,,,
06/06/2022,12/06/2022,2,June,2022,,,,,,,,
13/06/2022,19/06/2022,3,June,2022,,,,,,,,
20/06/2022,26/06/2022,4,June,2022,,,,,,,,
27/06/2022,03/07/2022,5,June,2022,,,,,,,,
04/07/2022,10/07/2022,1,July,2022,,,,,,,,
11/07/2022,17/07/2022,2,July,2022,,,,,,,,
18/07/2022,24/07/2022,3,July,2022,,,,,,,,
25/07/2022,31/07/2022,4,July,2022,,,,,,,,
01/08/2022,07/08/2022,1,August,2022,,,,,,,,
08/08/2022,14/08/2022,2,August,2022,,,,,,,,
15/08/2022,21/08/2022,3,August,2022,,,,,,,,
22/08/2022,28/08/2022,4,August,2022,,,,,,,,
29/08/2022,04/09/2022,1,September,2022,,,,,,,,
05/09/2022,11/09/2022,2,September,2022,,,,,,,,
12/09/2022,18/09/2022,3,September,2022,,,,,,,,
19/09/2022,25/09/2022,4,September,2022,,,,,,,,
26/09/2022,02/10/2022,5,September,2022,,,,,,,,
03/10/2022,09/10/2022,1,October,2022,,,,,,,,
10/10/2022,16/10/2022,2,October,2022,,,,,,,,
17/10/2022,23/10/2022,3,October,2022,,,,,,,,
24/10/2022,30/10/2022,4,October,2022,,,,,,,,
31/10/2022,06/11/2022,1,November,2022,,,,,,,,
07/11/2022,13/11/2022,2,November,2022,,,,,,,,
14/11/2022,20/11/2022,3,November,2022,,,,,,,,
21/11/2022,27/11/2022,4,November,2022,,,,,,,,
28/11/2022,04/12/2022,1,December,2022,,,,,,,,
05/12/2022,11/12/2022,2,December,2022,,,,,,,,
12/12/2022,18/12/2022,3,December,2022,,,,,,,,
19/12/2022,25/12/2022,4,December,2022,,,,,,,,
26/12/2022,01/01/2023,5,December,2022,,,,,,,,
02/01/2023,08/01/2023,1,January,2023,,,,,,,,
09/01/2023,15/01/2023,2,January,2023,,,,,,,,
16/01/2023,22/01/2023,3,January,2023,,,,,,,,
23/01/2023,29/01/2023,4,January,2023,,,,,,,,
30/01/2023,05/02/2023,1,February,2023,,,,,,,,
06/02/2023,12/02/2023,2,February,2023,,,,,,,,
13/02/2023,19/02/2023,3,February,2023,,,,,,,,
20/02/2023,26/02/2023,4,February,2023,,,,,,,,
27/02/2023,05/03/2023,1,March,2023,,,,,,,,
06/03/2023,12/03/2023,2,March,2023,,,,,,,,
13/03/2023,19/03/2023,3,March,2023,,,,,,,,
20/03/2023,26/03/2023,4,March,2023,,,,,,,,
27/03/2023,02/04/2023,5,March,2023,,,,,,,,
03/04/2023,09/04/2023,1,April,2023,,,,,,,,
10/04/2023,16/04/2023,2,April,2023,,,,,,,,
17/04/2023,23/04/2023,3,April,2023,,,,,,,,
24/04/2023,30/04/2023,4,April,2023,,,,,,,,
01/05/2023,07/05/2023,1,May,2023,,,,,,,,
08/05/2023,14/05/2023,2,May,2023,,,,,,,,
15/05/2023,21/05/2023,3,May,2023,,,,,,,,
22/05/2023,28/05/2023,4,May,2023,,,,,,,,
29/05/2023,04/06/2023,1,June,2023,,,,,,,,
05/06/2023,11/06/2023,2,June,2023,,,,,,,,
12/06/2023,18/06/2023,3,June,2023,,,,,,,,
19/06/2023,25/06/2023,4,June,2023,,,,,,,,
26/06/2023,02/07/2023,5,June,2023,,,,,,,,
03/07/2023,09/07/2023,1,July,2023,,,,,,,,
10/07/2023,16/07/2023,2,July,2023,,,,,,,,
17/07/2023,23/07/2023,3,July,2023,,,,,,,,
24/07/2023,30/07/2023,4,July,2023,,,,,,,,
31/07/2023,06/08/2023,1,August,2023,,,,,,,,
07/08/2023,13/08/2023,2,August,2023,,,,,,,,
14/08/2023,20/08/2023,3,August,2023,,,,,,,,
21/08/2023,27/08/2023,4,August,2023,,,,,,,,
28/08/2023,03/09/2023,5,August,2023,,,,,,,,
04/09/2023,10/09/2023,1,September,2023,,,,,,,,
11/09/2023,17/09/2023,2,September,2023,,,,,,,,
18/09/2023,24/09/2023,3,September,2023,,,,,,,,
25/09/2023,01/10/2023,4,September,2023,,,,,,,,
02/10/2023,08/10/2023,1,October,2023,,,,,,,,
09/10/2023,15/10/2023,2,October,2023,,,,,,,,
16/10/2023,22/10/2023,3,October,2023,,,,,,,,
23/10/2023,29/10/2023,4,October,2023,,,,,,,,
30/10/2023,05/11/2023,1,November,2023,,,,,,,,
06/11/2023,12/11/2023,2,November,2023,,,,,,,,
13/11/2023,19/11/2023,3,November,2023,,,,,,,,
20/11/2023,26/11/2023,4,November,2023,,,,,,,,
27/11/2023,03/12/2023,5,November,2023,,,,,,,,
04/12/2023,10/12/2023,1,December,2023,,,,,,,,
11/12/2023,17/12/2023,2,December,2023,,,,,,,,
18/12/2023,24/12/2023,3,December,2023,,,,,,,,
25/12/2023,31/12/2023,4,December,2023,,,,,,,,
01/01/2024,07/01/2023,1,January,2024,,,,,,,,
08/01/2024,14/01/2024,2,January,2024,,,,,,,,
15/01/2024,21/01/2024,3,January,2024,,,,,,,,
22/01/2024,28/01/2024,4,January,2024,,,,,,,,
29/01/2024,04/02/2024,1,February,2024,,,,,,,,
05/02/2024,11/02/2024,2,February,2024,,,,,,,,
12/02/2024,18/02/2024,3,February,2024,,,,,,,,
19/02/2024,25/02/2024,4,February,2024,,,,,,,,
